dataset_idx,example_id,gold_label,status,base_label,relevant_found,new_label,premise_index,premise_text,n_premises
0,1126,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x (DrinkRegularly(x, coffee) → IsDependentOn(x, caffeine))",5
1,1127,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
2,1128,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
3,1129,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
4,20,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
5,21,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
6,22,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,"Czech(miroslav) ∧ ChoralConductor(miroslav) ∧ SpecializeInPerformanceOf(miroslav, renaissanceMusic) ∧ SpecializeInPerformanceOf(miroslav, baroqueMusic)",4
7,1336,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
8,1337,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,∀x (Eel(x) → Fish(x)),7
9,1338,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∀x (Eel(x) → Fish(x)),7
10,392,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
11,393,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
12,394,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
13,636,True,SKIP_NOT_CONVERGENT,False,False,,,,5
14,637,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
15,638,True,OK_RELEVANT_FOUND,True,True,Uncertain,1.0,"Attended(williamDickinson, westminsterSchool) ∧ Highschool(westminsterSchool) ∧ Attended(williamDickinson, universityOfEdinburgh)",5
16,639,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"British(williamDickinson) ∧ Politician(williamDickinson) ∧ SatIn(williamDickinson, houseOfCommons)",5
17,690,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
18,1192,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
19,1193,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
20,1194,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
21,1195,True,OK_RELEVANT_FOUND,True,True,Uncertain,3.0,"∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ Prefer(x, tVSeries)) → (¬WatchIn(x, tV, cinema)))",6
22,1196,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,"∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ SubscribedTo(x, aMCAList)) →  EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(x))",6
23,550,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x ∀y (LaLigaSoccerTeam(x) ∧ LaLigaSoccerTeam(y) ∧ MorePoints(x, y) → RankHigherThan(x, y))",5
24,551,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
25,249,True,OK_RELEVANT_FOUND,True,True,Uncertain,1.0,"∀x (Residentof(x, lawtonPark) → UseZipCode(x, num98199))",4
