example_id,dataset_idx,gold_label,condition,k_noise,noise_facts,vampire_label,match_gold
13,619,Uncertain,base,0,[],Uncertain,True
13,619,Uncertain,noise_1,1,['noise_p_972423195(noise_c_972423195)'],Uncertain,True
1281,705,False,base,0,[],False,True
1281,705,False,noise_1,1,['noise_p_912170735(noise_c_912170735)'],False,True
891,660,True,base,0,[],True,True
891,660,True,noise_1,1,['noise_p_449078290(noise_c_449078290)'],True,True
256,293,False,base,0,[],False,True
256,293,False,noise_1,1,['noise_p_796842356(noise_c_796842356)'],False,True
1253,973,Uncertain,base,0,[],Uncertain,True
1253,973,Uncertain,noise_1,1,['noise_p_97151689(noise_c_97151689)'],Uncertain,True
336,690,Uncertain,base,0,[],Uncertain,True
336,690,Uncertain,noise_1,1,['noise_p_201379587(noise_c_201379587)'],Uncertain,True
630,775,Uncertain,base,0,[],Uncertain,True
630,775,Uncertain,noise_1,1,['noise_p_527267739(noise_c_527267739)'],Uncertain,True
733,235,False,base,0,[],False,True
733,235,False,noise_1,1,['noise_p_617205113(noise_c_617205113)'],False,True
918,587,Uncertain,base,0,[],Uncertain,True
918,587,Uncertain,noise_1,1,['noise_p_961307004(noise_c_961307004)'],Uncertain,True
474,354,True,base,0,[],True,True
474,354,True,noise_1,1,['noise_p_727983141(noise_c_727983141)'],True,True
